Ticker,Nom,Price J-1,Price J,Date
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,1785.0,1785.0,2025-04-08
BICC,BICI COTE D'IVOIRE,15800.0,15800.0,2025-04-08
BNBC,BERNABE COTE D'IVOIRE,1000.0,1000.0,2025-04-08
BOAB,BANK OF AFRICA BENIN,4700.0,4705.0,2025-04-08
BOABF,BANK OF AFRICA BURKINA FASO,4295.0,4295.0,2025-04-08
BOAC,BANK OF AFRICA COTE D'IVOIRE,5985.0,6000.0,2025-04-08
BOAM,BANK OF AFRICA MALI,2550.0,2560.0,2025-04-08
BOAN,BANK OF AFRICA NIGER,2780.0,2780.0,2025-04-08
BOAS,BANK OF AFRICA SENEGAL,4280.0,4245.0,2025-04-08
CABC,SICABLE COTE D'IVOIRE,1300.0,1300.0,2025-04-08
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,10350.0,10300.0,2025-04-08
CFAC,CFAO MOTORS COTE D'IVOIRE,605.0,610.0,2025-04-08
CIEC,CIE COTE D'IVOIRE,2620.0,2600.0,2025-04-08
ECOC,ECOBANK COTE D'IVOIRE,9900.0,9895.0,2025-04-08
ETIT,Ecobank Transnational Incorporated TOGO,15.0,15.0,2025-04-08
FTSC,FILTISAC COTE D'IVOIRE,3095.0,3100.0,2025-04-08
LNBB,LOTERIE NATIONALE DU BENIN,4845.0,4845.0,2025-04-08
NEIC,NEI-CEDA COTE D'IVOIRE,720.0,720.0,2025-04-08
NSBC,NSIA BANQUE COTE D'IVOIRE,8205.0,8250.0,2025-04-08
NTLC,NESTLE COTE D'IVOIRE,9995.0,9945.0,2025-04-08
ONTBF,ONATEL BURKINA FASO,2560.0,2570.0,2025-04-08
ORAC,ORANGE COTE D'IVOIRE,14985.0,14985.0,2025-04-08
ORGT,ORAGROUP TOGO,1580.0,1580.0,2025-04-08
PALC,PALM COTE D'IVOIRE,5505.0,5550.0,2025-04-08
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,2080.0,1925.0,2025-04-08
SAFC,SAFCA COTE D'IVOIRE,730.0,730.0,2025-04-08
SCRC,SUCRIVOIRE COTE D'IVOIRE,985.0,985.0,2025-04-08
SDCC,SODE COTE D'IVOIRE,6480.0,6495.0,2025-04-08
SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,1350.0,1340.0,2025-04-08
SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,700.0,700.0,2025-04-08
SGBC,SOCIETE GENERALE COTE D'IVOIRE,21900.0,21700.0,2025-04-08
SHEC,VIVO ENERGY COTE D'IVOIRE,950.0,955.0,2025-04-08
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,4500.0,4500.0,2025-04-08
SICC,SICOR COTE D'IVOIRE,3350.0,3375.0,2025-04-08
SIVC,AIR LIQUIDE COTE D'IVOIRE,500.0,505.0,2025-04-08
SLBC,SOLIBRA COTE D'IVOIRE,14500.0,14500.0,2025-04-08
SMBC,SMB COTE D'IVOIRE,8500.0,8405.0,2025-04-08
SNTS,SONATEL SENEGAL,25200.0,25100.0,2025-04-08
SOGC,SOGB COTE D'IVOIRE,5245.0,5245.0,2025-04-08
SPHC,SAPH COTE D'IVOIRE,4475.0,4500.0,2025-04-08
STAC,SETAO COTE D'IVOIRE,555.0,555.0,2025-04-08
STBC,SITAB COTE D'IVOIRE,9900.0,9900.0,2025-04-08
SVOC,MOVIS COTE D'IVOIRE,2395.0,2395.0,2025-04-08
TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,3380.0,3380.0,2025-04-08
TTLS,TOTALENERGIES MARKETING SENEGAL,2350.0,2350.0,2025-04-08
TTRC,TRITURAF Ste en Liquid,490.0,490.0,2025-04-08
UNLC,UNILEVER COTE D'IVOIRE,6575.0,6575.0,2025-04-08
UNXC,UNIWAX COTE D'IVOIRE,395.0,395.0,2025-04-08
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,1785.0,1785.0,2025-04-08
BICC,BICI COTE D'IVOIRE,15800.0,15800.0,2025-04-08
BNBC,BERNABE COTE D'IVOIRE,1000.0,1000.0,2025-04-08
BOAB,BANK OF AFRICA BENIN,4700.0,4705.0,2025-04-08
BOABF,BANK OF AFRICA BURKINA FASO,4295.0,4295.0,2025-04-08
BOAC,BANK OF AFRICA COTE D'IVOIRE,5985.0,6000.0,2025-04-08
BOAM,BANK OF AFRICA MALI,2550.0,2560.0,2025-04-08
BOAN,BANK OF AFRICA NIGER,2780.0,2780.0,2025-04-08
BOAS,BANK OF AFRICA SENEGAL,4280.0,4245.0,2025-04-08
CABC,SICABLE COTE D'IVOIRE,1300.0,1300.0,2025-04-08
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,10350.0,10300.0,2025-04-08
CFAC,CFAO MOTORS COTE D'IVOIRE,605.0,610.0,2025-04-08
CIEC,CIE COTE D'IVOIRE,2620.0,2600.0,2025-04-08
ECOC,ECOBANK COTE D'IVOIRE,9900.0,9895.0,2025-04-08
ETIT,Ecobank Transnational Incorporated TOGO,15.0,15.0,2025-04-08
FTSC,FILTISAC COTE D'IVOIRE,3095.0,3100.0,2025-04-08
LNBB,LOTERIE NATIONALE DU BENIN,4845.0,4845.0,2025-04-08
NEIC,NEI-CEDA COTE D'IVOIRE,720.0,720.0,2025-04-08
NSBC,NSIA BANQUE COTE D'IVOIRE,8205.0,8250.0,2025-04-08
NTLC,NESTLE COTE D'IVOIRE,9995.0,9945.0,2025-04-08
ONTBF,ONATEL BURKINA FASO,2560.0,2570.0,2025-04-08
ORAC,ORANGE COTE D'IVOIRE,14985.0,14985.0,2025-04-08
ORGT,ORAGROUP TOGO,1580.0,1580.0,2025-04-08
PALC,PALM COTE D'IVOIRE,5505.0,5550.0,2025-04-08
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,2080.0,1925.0,2025-04-08
SAFC,SAFCA COTE D'IVOIRE,730.0,730.0,2025-04-08
SCRC,SUCRIVOIRE COTE D'IVOIRE,985.0,985.0,2025-04-08
SDCC,SODE COTE D'IVOIRE,6480.0,6495.0,2025-04-08
SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,1350.0,1340.0,2025-04-08
SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,700.0,700.0,2025-04-08
SGBC,SOCIETE GENERALE COTE D'IVOIRE,21900.0,21700.0,2025-04-08
SHEC,VIVO ENERGY COTE D'IVOIRE,950.0,955.0,2025-04-08
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,4500.0,4500.0,2025-04-08
SICC,SICOR COTE D'IVOIRE,3350.0,3375.0,2025-04-08
SIVC,AIR LIQUIDE COTE D'IVOIRE,500.0,505.0,2025-04-08
SLBC,SOLIBRA COTE D'IVOIRE,14500.0,14500.0,2025-04-08
SMBC,SMB COTE D'IVOIRE,8500.0,8405.0,2025-04-08
SNTS,SONATEL SENEGAL,25200.0,25100.0,2025-04-08
SOGC,SOGB COTE D'IVOIRE,5245.0,5245.0,2025-04-08
SPHC,SAPH COTE D'IVOIRE,4475.0,4500.0,2025-04-08
STAC,SETAO COTE D'IVOIRE,555.0,555.0,2025-04-08
STBC,SITAB COTE D'IVOIRE,9900.0,9900.0,2025-04-08
SVOC,MOVIS COTE D'IVOIRE,2395.0,2395.0,2025-04-08
TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,3380.0,3380.0,2025-04-08
TTLS,TOTALENERGIES MARKETING SENEGAL,2350.0,2350.0,2025-04-08
TTRC,TRITURAF Ste en Liquid,490.0,490.0,2025-04-08
UNLC,UNILEVER COTE D'IVOIRE,6575.0,6575.0,2025-04-08
UNXC,UNIWAX COTE D'IVOIRE,395.0,395.0,2025-04-08
